,reaction_id,rxn_smiles,DG_TS
0,0,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,19.2
1,1,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14]1,25.4
2,2,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14],24.4
3,3,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,18.2
4,4,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14][cH:13]1,23.7
5,5,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[o:11][cH:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:11][cH:12][cH:13]1,26.3
6,6,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][o:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][o:14]1,19.7
7,7,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][o:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][o:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],26.1
8,8,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[o:7][cH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[o:7][cH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],18.9
9,9,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][o:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[o:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:14]1,17.7
10,10,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][o:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][o:12][cH:13]1,27.8
11,11,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][o:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][cH:12][o:13]1,20.0
12,15,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][nH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:14]1,19.7
13,16,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][nH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:14][cH:13]1,24.0
14,17,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[nH:11][cH:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:11][cH:12][cH:13]1,27.4
15,18,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][nH:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][nH:14]1,22.5
16,19,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][nH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][nH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],26.6
17,20,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[nH:7][cH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[nH:7][cH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],22.2
18,21,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][nH:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[nH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:14]1,20.5
19,22,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][nH:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][nH:12][cH:13]1,28.3
20,23,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][nH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][cH:12][nH:13]1,22.9
21,27,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][s:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14]1,20.2
22,28,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][s:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14][cH:13]1,23.2
23,29,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[s:11][cH:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:11][cH:12][cH:13]1,26.7
24,30,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][s:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][s:14]1,21.4
25,31,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][s:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][s:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],25.9
26,32,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[s:7][cH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[s:7][cH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],21.2
