,reaction_id,rxn_smiles,products,DG_TS,G,DE_RP,G_alt1,G_alt2,f
0,0,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,19.2,147.25777169999998,-6.39391650842697,182.7622875,124.3599318,0.15209355673153574
1,1,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14]1,[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14]1,25.4,147.25777169999998,10.541834164636727,182.7622875,124.3599318,0.13669283926616443
2,2,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14],[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14],24.4,147.25777169999998,7.392431128327803,182.7622875,124.3599318,0.14059552984418888
3,3,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,18.2,148.2680628,-6.386810585214327,157.8062148,150.3262956,0.14428869500685998
4,4,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][o:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14][cH:13]1,[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14][cH:13]1,23.7,148.2680628,7.888155243170538,157.8062148,150.3262956,0.13324462467054457
5,5,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[o:11][cH:12][cH:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:11][cH:12][cH:13]1,[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:11][cH:12][cH:13]1,26.3,148.2680628,13.541891076115425,157.8062148,150.3262956,0.13171450474998914
1740,1985,[F:1][C:2]([F:3])([F:4])[c:5]1[s:6][n:7][cH:8][cH:9]1.[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[s:6][n:7][cH:8][c:9]1-[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,[F:1][C:2]([F:3])([F:4])[c:5]1[s:6][n:7][cH:8][c:9]1-[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,14.2,141.0767982,-24.27250974190391,164.17544130000002,109.40009339999999,0.1866802706538314
1742,1987,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[s:6][n:7][cH:8][cH:9]1.[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[s:6][n:7][cH:8][c:9]1-[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[s:6][n:7][cH:8][c:9]1-[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,13.4,145.3187658,-19.616057981494215,143.73744059999999,134.0800617,0.15970428088198854
1743,1988,[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][cH:7][cH:8][o:9]1.[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][c:7](-[c:10]2[cH:11][cH:12][n:13][cH:14][cH:15]2)[cH:8][o:9]1,[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][c:7](-[c:10]2[cH:11][cH:12][n:13][cH:14][cH:15]2)[cH:8][o:9]1,14.9,150.1192173,-21.796515924379662,158.697279,123.92067480000001,0.17185180169594336
1744,1989,[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][cH:7][cH:8][o:9]1.[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][cH:7][c:8](-[c:10]2[cH:11][cH:12][n:13][cH:14][cH:15]2)[o:9]1,[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][cH:7][c:8](-[c:10]2[cH:11][cH:12][n:13][cH:14][cH:15]2)[o:9]1,10.7,150.1192173,-34.50765215903258,158.697279,123.92067480000001,0.1862108435034872
